Metric,Value
timing__setup_r2r__ws__corner:max_tt_025C_3v30,7.050636
timing__setup_r2r_vio__count__corner:max_tt_025C_3v30,0
timing__unannotated_net__count__corner:max_tt_025C_3v30,1900
timing__unannotated_net_filtered__count__corner:max_tt_025C_3v30,0
design__max_slew_violation__count__corner:max_ss_125C_3v00,2372
design__max_fanout_violation__count__corner:max_ss_125C_3v00,164
design__max_cap_violation__count__corner:max_ss_125C_3v00,128
clock__skew__worst_hold__corner:max_ss_125C_3v00,-0.6546741112303615
clock__skew__worst_setup__corner:max_ss_125C_3v00,0.6007807754663798
timing__hold__ws__corner:max_ss_125C_3v00,1.9621425040126237
timing__setup__ws__corner:max_ss_125C_3v00,-5.799760835749272
timing__hold__tns__corner:max_ss_125C_3v00,0.0
timing__setup__tns__corner:max_ss_125C_3v00,-1326.656766881691
timing__hold__wns__corner:max_ss_125C_3v00,0
timing__setup__wns__corner:max_ss_125C_3v00,-5.799760835749272
timing__hold_vio__count__corner:max_ss_125C_3v00,0
timing__hold_r2r__ws__corner:max_ss_125C_3v00,1.962142
timing__hold_r2r_vio__count__corner:max_ss_125C_3v00,0
timing__setup_vio__count__corner:max_ss_125C_3v00,382
timing__setup_r2r__ws__corner:max_ss_125C_3v00,-5.799761
timing__setup_r2r_vio__count__corner:max_ss_125C_3v00,379
timing__unannotated_net__count__corner:max_ss_125C_3v00,1900
timing__unannotated_net_filtered__count__corner:max_ss_125C_3v00,0
design__max_slew_violation__count__corner:max_ff_n40C_3v60,399
design__max_fanout_violation__count__corner:max_ff_n40C_3v60,164
design__max_cap_violation__count__corner:max_ff_n40C_3v60,128
clock__skew__worst_hold__corner:max_ff_n40C_3v60,-0.3866349294603128
clock__skew__worst_setup__corner:max_ff_n40C_3v60,0.36456858008799403
timing__hold__ws__corner:max_ff_n40C_3v60,0.39565996043831164
timing__setup__ws__corner:max_ff_n40C_3v60,5.206708100931266
timing__hold__tns__corner:max_ff_n40C_3v60,0.0
timing__setup__tns__corner:max_ff_n40C_3v60,0.0
timing__hold__wns__corner:max_ff_n40C_3v60,0
timing__setup__wns__corner:max_ff_n40C_3v60,0.0
timing__hold_vio__count__corner:max_ff_n40C_3v60,0
timing__hold_r2r__ws__corner:max_ff_n40C_3v60,0.395660
timing__hold_r2r_vio__count__corner:max_ff_n40C_3v60,0
timing__setup_vio__count__corner:max_ff_n40C_3v60,0
timing__setup_r2r__ws__corner:max_ff_n40C_3v60,12.525763
timing__setup_r2r_vio__count__corner:max_ff_n40C_3v60,0
timing__unannotated_net__count__corner:max_ff_n40C_3v60,1900
timing__unannotated_net_filtered__count__corner:max_ff_n40C_3v60,0
timing__unannotated_net__count__corner:nom_tt_025C_5v00,1900
timing__unannotated_net_filtered__count__corner:nom_tt_025C_5v00,0
timing__unannotated_net__count__corner:nom_ss_125C_4v50,1900
timing__unannotated_net_filtered__count__corner:nom_ss_125C_4v50,0
timing__unannotated_net__count__corner:nom_ff_n40C_5v50,1900
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_5v50,0
design__max_slew_violation__count__corner:min_tt_025C_5v00,415
design__max_fanout_violation__count__corner:min_tt_025C_5v00,164
design__max_cap_violation__count__corner:min_tt_025C_5v00,112
clock__skew__worst_hold__corner:min_tt_025C_5v00,-0.37236445536509183
clock__skew__worst_setup__corner:min_tt_025C_5v00,0.3467543850202488
timing__hold__ws__corner:min_tt_025C_5v00,0.5137654891381882
timing__setup__ws__corner:min_tt_025C_5v00,5.095794153099093
timing__hold__tns__corner:min_tt_025C_5v00,0.0
timing__setup__tns__corner:min_tt_025C_5v00,0.0
timing__hold__wns__corner:min_tt_025C_5v00,0
timing__setup__wns__corner:min_tt_025C_5v00,0.0
timing__hold_vio__count__corner:min_tt_025C_5v00,0
timing__hold_r2r__ws__corner:min_tt_025C_5v00,0.513766
timing__hold_r2r_vio__count__corner:min_tt_025C_5v00,0
timing__setup_vio__count__corner:min_tt_025C_5v00,0
timing__setup_r2r__ws__corner:min_tt_025C_5v00,11.640202
timing__setup_r2r_vio__count__corner:min_tt_025C_5v00,0
timing__unannotated_net__count__corner:min_tt_025C_5v00,1900
timing__unannotated_net_filtered__count__corner:min_tt_025C_5v00,0
design__max_slew_violation__count__corner:min_ss_125C_4v50,1014
design__max_fanout_violation__count__corner:min_ss_125C_4v50,164
design__max_cap_violation__count__corner:min_ss_125C_4v50,113
clock__skew__worst_hold__corner:min_ss_125C_4v50,-0.45773672259267284
clock__skew__worst_setup__corner:min_ss_125C_4v50,0.41314638990434205
timing__hold__ws__corner:min_ss_125C_4v50,1.1534196146882065
timing__setup__ws__corner:min_ss_125C_4v50,4.430685277409769
timing__hold__tns__corner:min_ss_125C_4v50,0.0
timing__setup__tns__corner:min_ss_125C_4v50,0.0
timing__hold__wns__corner:min_ss_125C_4v50,0
timing__setup__wns__corner:min_ss_125C_4v50,0.0
timing__hold_vio__count__corner:min_ss_125C_4v50,0
timing__hold_r2r__ws__corner:min_ss_125C_4v50,1.153420
timing__hold_r2r_vio__count__corner:min_ss_125C_4v50,0
timing__setup_vio__count__corner:min_ss_125C_4v50,0
timing__setup_r2r__ws__corner:min_ss_125C_4v50,4.895345
timing__setup_r2r_vio__count__corner:min_ss_125C_4v50,0
timing__unannotated_net__count__corner:min_ss_125C_4v50,1900
timing__unannotated_net_filtered__count__corner:min_ss_125C_4v50,0
design__max_slew_violation__count__corner:min_ff_n40C_5v50,171
design__max_fanout_violation__count__corner:min_ff_n40C_5v50,164
design__max_cap_violation__count__corner:min_ff_n40C_5v50,111
clock__skew__worst_hold__corner:min_ff_n40C_5v50,-0.33308454159833706
clock__skew__worst_setup__corner:min_ff_n40C_5v50,0.31631806402856205
